"id","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
690466,367640910,"2023-05-29 02:04:45",29.69099,-91.09847,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
696060,367640910,"2023-05-29 01:45:24",29.69098,-91.09846,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
709484,367640910,"2023-05-29 02:03:35",29.69096,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
711410,367640910,"2023-05-29 02:09:25",29.691,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
722636,367640910,"2023-05-29 02:11:44",29.69098,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
729828,367640910,"2023-05-29 02:08:15",29.69101,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
730790,367640910,"2023-05-29 02:12:45",29.69098,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
733513,367640910,"2023-05-29 02:15:05",29.69094,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
752648,367640910,"2023-05-29 00:48:26",29.69094,-91.0984,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
755796,367640910,"2023-05-29 02:19:35",29.69105,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
757319,367640910,"2023-05-29 02:13:54",29.69102,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
760371,367640910,"2023-05-29 02:16:14",29.69103,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
763052,367640910,"2023-05-29 02:20:45",29.69099,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
766909,367640910,"2023-05-29 02:17:24",29.69105,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
774144,367640910,"2023-05-29 02:21:56",29.69096,-91.09853,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
786106,367640910,"2023-05-29 02:25:25",29.69099,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
789477,367640910,"2023-05-29 02:23:04",29.69101,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
799079,367640910,"2023-05-29 02:24:15",29.69102,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
802929,367640910,"2023-05-29 02:27:35",29.69101,-91.09846,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
806707,367640910,"2023-05-29 02:28:44",29.69095,-91.09845,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
810863,367640910,"2023-05-29 02:26:34",29.69109,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
827647,367640910,"2023-05-29 02:31:06",29.691,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
839775,367640910,"2023-05-29 02:33:25",29.69096,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
842076,367640910,"2023-05-29 02:34:34",29.69098,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
854578,367640910,"2023-05-29 02:07:05",29.69099,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
857946,367640910,"2023-05-29 02:36:55",29.69097,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
860850,367640910,"2023-05-29 02:38:05",29.69098,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
867252,367640910,"2023-05-29 02:35:45",29.69095,-91.09845,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
867263,367640910,"2023-05-29 02:10:34",29.69098,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
886269,367640910,"2023-05-29 02:39:15",29.69096,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
887429,367640910,"2023-05-29 02:44:56",29.69098,-91.0984,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
887475,367640910,"2023-05-29 02:42:35",29.69099,-91.0984,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
907819,367640910,"2023-05-29 02:46:05",29.69097,-91.0984,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
918805,367640910,"2023-05-29 02:43:44",29.69097,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
918811,367640910,"2023-05-29 02:49:34",29.69096,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
922941,367640910,"2023-05-29 02:47:14",29.691,-91.0984,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
927733,367640910,"2023-05-29 02:51:55",29.69102,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
932535,367640910,"2023-05-29 02:53:04",29.69099,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
964994,367640910,"2023-05-29 02:57:44",29.69097,-91.0984,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
969778,367640910,"2023-05-29 02:56:35",29.691,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
971998,367640910,"2023-05-29 02:29:55",29.69101,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
978658,367640910,"2023-05-29 02:54:15",29.691,-91.0984,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
986345,367640910,"2023-05-29 03:01:15",29.69102,-91.09839,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
986374,367640910,"2023-05-29 02:55:25",29.69099,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
986402,367640910,"2023-05-29 03:02:24",29.69095,-91.09839,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
987840,367640910,"2023-05-29 03:03:25",29.69098,-91.09839,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
989969,367640910,"2023-05-29 02:58:54",29.69098,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1018210,367640910,"2023-05-29 03:08:06",29.69095,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1018311,367640910,"2023-05-29 03:06:54",29.69101,-91.09839,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1019519,367640910,"2023-05-29 03:09:14",29.691,-91.09838,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1049018,367640910,"2023-05-29 03:13:55",29.69098,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1065275,367640910,"2023-05-29 03:17:26",29.69095,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1067902,367640910,"2023-05-29 03:11:34",29.69093,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1079416,367640910,"2023-05-29 03:18:35",29.69093,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1079420,367640910,"2023-05-29 03:20:55",29.69099,-91.0984,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1086028,367640910,"2023-05-29 03:19:45",29.69094,-91.09838,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1087048,367640910,"2023-05-29 03:15:05",29.69098,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1099885,367640910,"2023-05-29 03:23:15",29.69096,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1099994,367640910,"2023-05-29 02:50:45",29.691,-91.09842,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1116715,367640910,"2023-05-29 03:27:55",29.69098,-91.09839,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1135281,367640910,"2023-05-29 03:25:34",29.69099,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1150736,367640910,"2023-05-29 03:29:05",29.69098,-91.0984,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1153844,367640910,"2023-05-29 03:32:36",29.69103,-91.09836,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1153963,367640910,"2023-05-29 03:00:05",29.69097,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1153969,367640910,"2023-05-29 03:33:46",29.69099,-91.09839,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1169960,367640910,"2023-05-29 03:34:54",29.691,-91.09839,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1172672,367640910,"2023-05-29 03:36:05",29.691,-91.09839,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1175569,367640910,"2023-05-29 03:37:14",29.69096,-91.09839,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1193331,367640910,"2023-05-29 03:41:45",29.69102,-91.09836,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1195873,367640910,"2023-05-29 03:40:36",29.69097,-91.09841,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1199665,367640910,"2023-05-29 03:04:35",29.69098,-91.0984,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1203557,367640910,"2023-05-29 03:05:45",29.691,-91.0984,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1214100,367640910,"2023-05-29 03:39:35",29.69101,-91.09838,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
1221233,367640910,"2023-05-29 01:16:15",29.69099,-91.09846,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
